image,crop,annotated_crop,annotated_original,detections
data/boris/photo_2026-02-16_11-45-15.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-15.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-15.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-15.jpg,0
data/boris/photo_2026-02-16_11-45-18.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-18.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-18.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-18.jpg,0
data/boris/photo_2026-02-16_11-45-20.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-20.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-20.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-20.jpg,0
data/boris/photo_2026-02-16_11-45-23.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-23.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-23.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-23.jpg,1
data/boris/photo_2026-02-16_11-45-25.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-25.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-25.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-25.jpg,1
data/boris/photo_2026-02-16_11-45-28.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-28.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-28.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-28.jpg,1
data/boris/photo_2026-02-16_11-45-31.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-31.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-31.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-31.jpg,2
data/boris/photo_2026-02-16_11-45-33.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-33.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-33.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-33.jpg,0
data/boris/photo_2026-02-16_11-45-35.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-35.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-35.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-35.jpg,0
data/boris/photo_2026-02-16_11-45-38.jpg,boris_fast_yolov8n_rectangles_outputs/crops/photo_2026-02-16_11-45-38.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_crops/photo_2026-02-16_11-45-38.jpg,boris_fast_yolov8n_rectangles_outputs/annotated_originals/photo_2026-02-16_11-45-38.jpg,3
